N2000-gebied;Habitattype;Habitattype beschr;Nederlandse naam;Analyse_taxonnaam;Soortgroep;Categorie;Opmerking
Waddenkust (kustwater);H1110A;Permanent overstroomde zandbanken (getijdengebied);Zandzager;Nephtys hombergii;Borstelwormen;Ca;H1110A ook  in de voormalige riviermonding van Rijn en Maas, aan de zeezijde van de Haringvlietdam (de Kwade Hoek)
Waddenkust (kustwater);H1110A;Permanent overstroomde zandbanken (getijdengebied);Groene zeeduizendpoot;Alitta virens;Borstelwormen;Ca;
Waddenkust (kustwater);H1110A;Permanent overstroomde zandbanken (getijdengebied);;Spio martinensis;Borstelwormen;Ca;
Waddenkust (kustwater);H1110A;Permanent overstroomde zandbanken (getijdengebied);Schelpkokerworm;Lanice conchilega;Borstelwormen;Ca;
Waddenkust (kustwater);H1110A;Permanent overstroomde zandbanken (getijdengebied);Wulk;Buccinum undatum;Weekdieren;Cab;
Waddenkust (kustwater);H1110A;Permanent overstroomde zandbanken (getijdengebied);Nonnetje;Macoma balthica;Weekdieren;Cab;
Waddenkust (kustwater);H1110A;Permanent overstroomde zandbanken (getijdengebied);Strandgaper;Mya arenaria;Weekdieren;Cab;
Waddenkust (kustwater);H1110A;Permanent overstroomde zandbanken (getijdengebied);Mossel;Mytilus edulis;Weekdieren;Cab;
Waddenkust (kustwater);H1110A;Permanent overstroomde zandbanken (getijdengebied);Kokkel;Cerastoderma edule;Weekdieren;Cab;
Vlakte van de Raan;H1110B ;Permanent overstroomde zandbanken (Noordzee-kustzone);Schelpkokerworm;Lanice conchilega;Borstelwormen;Cab; Daarnaast komt het subtype [H1110B] voor in het gedeelte van de FGR Getijdengebied ten westen van de lijn Vlissingen-Breskens (Westerschelde). 
Vlakte van de Raan;H1110B ;Permanent overstroomde zandbanken (Noordzee-kustzone);Zandkokerworm;Spiophanes bombyx;Borstelwormen;Cab;
Vlakte van de Raan;H1110B ;Permanent overstroomde zandbanken (Noordzee-kustzone);;Nephtys cirrosa;Borstelwormen;Ca;
Vlakte van de Raan;H1110B ;Permanent overstroomde zandbanken (Noordzee-kustzone);;Nephtys hombergii;Borstelwormen;Ca;
Vlakte van de Raan;H1110B ;Permanent overstroomde zandbanken (Noordzee-kustzone);;Magelona papillicornis;Borstelwormen;Ca;
Vlakte van de Raan;H1110B ;Permanent overstroomde zandbanken (Noordzee-kustzone);Kniksprietkreeftje;Bathyporeia elegans;Kreeftachtigen;Ca;
Vlakte van de Raan;H1110B ;Permanent overstroomde zandbanken (Noordzee-kustzone);Gewone zwemkrab;Liocarcinus holsatus;Kreeftachtigen;Ca;
Vlakte van de Raan;H1110B ;Permanent overstroomde zandbanken (Noordzee-kustzone);Bulldozerkreeftje;Urothoe poseidonis;Kreeftachtigen;Ca;
Vlakte van de Raan;H1110B ;Permanent overstroomde zandbanken (Noordzee-kustzone);Gewone heremietkreeft;Pagurus bernhardus;Kreeftachtigen;Ca;
Vlakte van de Raan;H1110B ;Permanent overstroomde zandbanken (Noordzee-kustzone);;Pontocrates altamarinus;Kreeftachtigen;Ca;
Vlakte van de Raan;H1110B ;Permanent overstroomde zandbanken (Noordzee-kustzone);Hartegel;Echinocardium cordatum;Stekelhuidigen;Ca;
Vlakte van de Raan;H1110B ;Permanent overstroomde zandbanken (Noordzee-kustzone);Gewone slangster;Ophiura ophiura;Stekelhuidigen;Ca;
Vlakte van de Raan;H1110B ;Permanent overstroomde zandbanken (Noordzee-kustzone);Witte dunschaal;Abra alba;Weekdieren;Cab;
Vlakte van de Raan;H1110B ;Permanent overstroomde zandbanken (Noordzee-kustzone);Wulk;Buccinum undatum;Weekdieren;Cab;
Vlakte van de Raan;H1110B ;Permanent overstroomde zandbanken (Noordzee-kustzone);Glanzende tepelhoorn;Euspira pulchella;Weekdieren;Cab;
Vlakte van de Raan;H1110B ;Permanent overstroomde zandbanken (Noordzee-kustzone);Halfgeknotte strandschelp;Spisula subtruncata;Weekdieren;K;
Vlakte van de Raan;H1110B ;Permanent overstroomde zandbanken (Noordzee-kustzone);Nonnetje;Macoma balthica;Weekdieren;Cab;
Vlakte van de Raan;H1110B ;Permanent overstroomde zandbanken (Noordzee-kustzone);Rechtsgestreepte platschelp;Angulus fabula;Weekdieren;Cab;
Vlakte van de Raan;H1110B ;Permanent overstroomde zandbanken (Noordzee-kustzone);Zaagje;Donax vittatus;Weekdieren;Cab;
Vlakte van de Raan;H1110B ;Permanent overstroomde zandbanken (Noordzee-kustzone);Grote strandschelp;Mactra stultorum;Weekdieren;Cab;
Doggersbank;H1110C;Permanent overstroomde zandbanken (Doggersbank);Dodemansduim;Alcyonium digitatum;Bloemdieren;K + Ca;
Doggersbank;H1110C;Permanent overstroomde zandbanken (Doggersbank);Schelpkokerworm;Lanice conchilega;Borstelwormen;Cab;
Doggersbank;H1110C;Permanent overstroomde zandbanken (Doggersbank);;Sigalion mathildae;Borstelwormen;Ca;
Doggersbank;H1110C;Permanent overstroomde zandbanken (Doggersbank);Zeemuis;Aphrodita aculeata;Borstelwormen;K + Ca;
Doggersbank;H1110C;Permanent overstroomde zandbanken (Doggersbank);;Goniada maculata;Borstelwormen;Ca;
Doggersbank;H1110C;Permanent overstroomde zandbanken (Doggersbank);;Magelona papillicornis;Borstelwormen;Ca;
Doggersbank;H1110C;Permanent overstroomde zandbanken (Doggersbank);;Nephtys cirrosa;Borstelwormen;Ca;
Doggersbank;H1110C;Permanent overstroomde zandbanken (Doggersbank);Zandzager;Nephtys hombergii;Borstelwormen;Ca;
Doggersbank;H1110C;Permanent overstroomde zandbanken (Doggersbank);Zandkokerworm;Spiophanes bombyx;Borstelwormen;Cab;
Doggersbank;H1110C;Permanent overstroomde zandbanken (Doggersbank);Kniksprietkreeftje;Bathyporeia elegans;Kreeftachtigen;Cab;
Doggersbank;H1110C;Permanent overstroomde zandbanken (Doggersbank);Kniksprietkreeftje;Bathyporeia guilliamsoniana;Kreeftachtigen;Ca;
Doggersbank;H1110C;Permanent overstroomde zandbanken (Doggersbank);Helmkrab;Corystes cassivelaunus;Kreeftachtigen;Cab;
Doggersbank;H1110C;Permanent overstroomde zandbanken (Doggersbank);Gewone zwemkrab;Liocarcinus holsatus;Kreeftachtigen;Ca;
Doggersbank;H1110C;Permanent overstroomde zandbanken (Doggersbank);;Urothoe poseidonis;Kreeftachtigen;Ca;
Doggersbank;H1110C;Permanent overstroomde zandbanken (Doggersbank);Gewone heremietkreeft;Pagurus bernhardus;Kreeftachtigen;Ca;
Doggersbank;H1110C;Permanent overstroomde zandbanken (Doggersbank);Ingegraven slangster;Acrocnida brachiata;Stekelhuidigen;E;
Doggersbank;H1110C;Permanent overstroomde zandbanken (Doggersbank);Kamster;Astropecten irregularis;Stekelhuidigen;Ca;
Doggersbank;H1110C;Permanent overstroomde zandbanken (Doggersbank);Zeeboontje;Echinocyamus pusillus;Stekelhuidigen;Ca;
Doggersbank;H1110C;Permanent overstroomde zandbanken (Doggersbank);;Luidia sarsii;Stekelhuidigen;K + Ca;
Doggersbank;H1110C;Permanent overstroomde zandbanken (Doggersbank);Brokkelster;Ophiothrix fragilis;Stekelhuidigen;K + Ca;
Doggersbank;H1110C;Permanent overstroomde zandbanken (Doggersbank);Gewone slangster;Ophiura ophiura;Stekelhuidigen;Ca;
Doggersbank;H1110C;Permanent overstroomde zandbanken (Doggersbank);Rechtsgestreepte platschelp;Angulus fabula;Weekdieren;Cab;
Doggersbank;H1110C;Permanent overstroomde zandbanken (Doggersbank);Noordkromp;Arctica islandica;Weekdieren;Ca;
Doggersbank;H1110C;Permanent overstroomde zandbanken (Doggersbank);Wulk;Buccinum undatum;Weekdieren;K + Cab;
Doggersbank;H1110C;Permanent overstroomde zandbanken (Doggersbank);Kleine zwaardschede;Ensis ensis;Weekdieren;Cab;
Doggersbank;H1110C;Permanent overstroomde zandbanken (Doggersbank);Glanzende tepelhoorn;Euspira pulchella;Weekdieren;Cab;
Doggersbank;H1110C;Permanent overstroomde zandbanken (Doggersbank);Geplooide zonneschelp;Gari fervensis;Weekdieren;Cab;
Doggersbank;H1110C;Permanent overstroomde zandbanken (Doggersbank);Tweetandschelp;Kurtiella bidentata;Weekdieren;Cab;
Doggersbank;H1110C;Permanent overstroomde zandbanken (Doggersbank);Noordhoren;Neptunea antiqua;Weekdieren;K + Cab;
Eems-Dollard;H1130;Estuaria;Nonnetje;Macoma balthica;Weekdieren;Cab;
Eems-Dollard;H1130;Estuaria;Strandgaper;Mya arenaria;Weekdieren;Cab;
Eems-Dollard;H1130;Estuaria;Wadslakje;Peringia ulvae;Weekdieren;Cab;
Eems-Dollard;H1130;Estuaria;Opgezwollen brakwaterhorentje;Ecrobia ventrosa;Weekdieren;Cab;
Eems-Dollard;H1130;Estuaria;Mossel;Mytilus edulis;Weekdieren;Cab;
Eems-Dollard;H1130;Estuaria;Kokkel;Cerastoderma edule;Weekdieren;Cab;
Eems-Dollard;H1130;Estuaria;Slijkgarnaal;Corophium volutator;Kreeftachtigen;Cab;
Eems-Dollard;H1130;Estuaria;Zeeduizendpoot;Hediste diversicolor;Borstelwormen;Ca;
Eems-Dollard;H1130;Estuaria;Rode draadworm;Heteromastus filiformis;Borstelwormen;Ca;
Eems-Dollard;H1130;Estuaria;Zandkokerworm;Pygospio elegans;Borstelwormen;Cab;
Westerschelde;H1130;Estuaria;Nonnetje;Macoma balthica;Weekdieren;Cab;
Westerschelde;H1130;Estuaria;Strandgaper;Mya arenaria;Weekdieren;Cab;
Westerschelde;H1130;Estuaria;Wadslakje;Peringia ulvae;Weekdieren;Cab;
Westerschelde;H1130;Estuaria;Opgezwollen brakwaterhorentje;Ecrobia ventrosa;Weekdieren;Cab;
Westerschelde;H1130;Estuaria;Mossel;Mytilus edulis;Weekdieren;Cab;
Westerschelde;H1130;Estuaria;Kokkel;Cerastoderma edule;Weekdieren;Cab;
Westerschelde;H1130;Estuaria;Slijkgarnaal;Corophium volutator;Kreeftachtigen;Cab;
Westerschelde;H1130;Estuaria;Zeeduizendpoot;Hediste diversicolor;Borstelwormen;Ca;
Westerschelde;H1130;Estuaria;Rode draadworm;Heteromastus filiformis;Borstelwormen;Ca;
Westerschelde;H1130;Estuaria;Zandkokerworm;Pygospio elegans;Borstelwormen;Cab;
Oosterschelde;H1160;Grote, ondiepe kreken en baaien;Zeeanjelier;Metridium senile;Bloemdieren;Cab;
Oosterschelde;H1160;Grote, ondiepe kreken en baaien;Wadpier;Arenicola marina;Borstelwormen;;
Oosterschelde;H1160;Grote, ondiepe kreken en baaien;Schelpkokerworm;Lanice conchilega;Borstelwormen;Ca;
Oosterschelde;H1160;Grote, ondiepe kreken en baaien;Zandzager;Nephtys hombergii;Borstelwormen;Ca;
Oosterschelde;H1160;Grote, ondiepe kreken en baaien;Zeeduizendpoot;Nereis diversicolor;Borstelwormen;Ca;
Oosterschelde;H1160;Grote, ondiepe kreken en baaien;Gewone strandkrab;Carcinus maenas;Kreeftachtigen;Cab;
Oosterschelde;H1160;Grote, ondiepe kreken en baaien;Buldozerkreeftje;Urothoe poseidonis;Kreeftachtigen;Ca;
Oosterschelde;H1160;Grote, ondiepe kreken en baaien;Hartegel;Echinocardium cordatum;Stekelhuidigen;Ca;
Oosterschelde;H1160;Grote, ondiepe kreken en baaien;Kokkel;Cerastoderma edule;Weekdieren;Ca;
Oosterschelde;H1160;Grote, ondiepe kreken en baaien;Mossel;Mytilus edulis;Weekdieren;Ca;
Klaverbank;H1170;Riffen;;Urticina;Bloemdieren;Cab;
Klaverbank;H1170;Riffen;Dodemansduim;Alcyonium digitatum;Bloemdieren;Cab;
Klaverbank;H1170;Riffen;;Sabellaria spinulosa;Borstelwormen;K + Ca;
Klaverbank;H1170;Riffen;;Chone duneri;Borstelwormen;K;
Klaverbank;H1170;Riffen;Oprolkreeft;Galathea intermedia;Kreeftachtigen;E;
Klaverbank;H1170;Riffen;Stevige platschelp;Arcopagia crassa;Weekdieren;Cab;
Klaverbank;H1170;Riffen;Wulk;Buccinum undatum;Weekdieren;Cab;
Klaverbank;H1170;Riffen;Artemisschelp;Dosinia exoleta;Weekdieren;Cab;
Klaverbank;H1170;Riffen;Zadeloester;Monia patelliformis;Weekdieren;K + Ca;
Klaverbank;H1170;Riffen;;Haliclona oculata;Sponzen;Cab;
Klaverbank;H1170;Riffen;Pelicaansvoet;Aporrhais pespelecani;Weekdieren;Cab;
Klaverbank;H1170;Riffen;Stiefelslak;Simnia patula;Weekdieren;Cab;
Klaverbank;H1170;Riffen;Wijde  mantel;Aequipecten opercularis;Weekdieren;Cab;
